scenario_id,query_id,domain,primary_doc_id,query,gold_answer,scenario_type,has_answer_in_corpus,n_eval_examples,is_used_in_eval,split,difficulty_level,use_case
SC0046,Q0008,research_papers,DOC0369,How do the authors suggest extending this work in future research?,NO_ANSWER_IN_CORPUS,no_answer_probe,0,3,1,train,medium,rag_evaluation
SC0047,Q0011,research_papers,DOC0497,How large is the evaluation dataset?,The evaluation dataset contains several tens of thousands of examples.,standard_qa,1,20,1,val,easy,rag_evaluation
SC0048,Q0011,research_papers,DOC0132,How large is the evaluation dataset?,The evaluation dataset contains several tens of thousands of examples.,standard_qa,1,24,1,val,hard,rag_evaluation
SC0049,Q0011,research_papers,DOC0085,How large is the evaluation dataset?,The evaluation dataset contains several tens of thousands of examples.,standard_qa,1,74,1,val,medium,rag_evaluation
SC0050,Q0015,research_papers,DOC0105,What baseline models were used in the study?,The study compares transformer-based baselines with classical models.,standard_qa,1,25,1,train,easy,rag_evaluation
SC0051,Q0015,research_papers,DOC0342,What baseline models were used in the study?,The study compares transformer-based baselines with classical models.,standard_qa,1,27,1,train,hard,rag_evaluation
SC0052,Q0015,research_papers,DOC0284,What baseline models were used in the study?,The study compares transformer-based baselines with classical models.,standard_qa,1,91,1,train,medium,rag_evaluation
SC0053,Q0003,support_faq,DOC0196,How can I reset my account password?,You can reset your password from the sign-in page using the forgot password link.,standard_qa,1,23,1,train,easy,rag_evaluation
SC0054,Q0003,support_faq,DOC0117,How can I reset my account password?,You can reset your password from the sign-in page using the forgot password link.,standard_qa,1,15,1,train,hard,rag_evaluation
SC0055,Q0003,support_faq,DOC0274,How can I reset my account password?,You can reset your password from the sign-in page using the forgot password link.,standard_qa,1,50,1,train,medium,rag_evaluation
SC0056,Q0020,support_faq,DOC0129,What should I do if the app keeps crashing?,Collect logs and contact support with device details and app version.,standard_qa,1,16,1,train,easy,rag_evaluation
SC0057,Q0020,support_faq,DOC0289,What should I do if the app keeps crashing?,Collect logs and contact support with device details and app version.,standard_qa,1,17,1,train,hard,rag_evaluation
SC0058,Q0020,support_faq,DOC0501,What should I do if the app keeps crashing?,Collect logs and contact support with device details and app version.,standard_qa,1,60,1,train,medium,rag_evaluation
SC0059,Q0021,support_faq,DOC0122,Where can I check the status of my support ticket?,Ticket status is available on the support portal under 'My Requests'.,standard_qa,1,20,1,train,easy,rag_evaluation
SC0060,Q0021,support_faq,DOC0299,Where can I check the status of my support ticket?,Ticket status is available on the support portal under 'My Requests'.,standard_qa,1,11,1,train,hard,rag_evaluation
SC0061,Q0021,support_faq,DOC0129,Where can I check the status of my support ticket?,Ticket status is available on the support portal under 'My Requests'.,standard_qa,1,60,1,train,medium,rag_evaluation
SC0062,Q0022,support_faq,DOC0462,Where can I download my monthly invoices for accounting purposes?,NO_ANSWER_IN_CORPUS,no_answer_probe,0,3,1,train,medium,rag_evaluation
